date,revenue,transactions,day_of_week,is_weekend,product_category_majority,region,discount_pct,customer_segment_majority
2026-03-01,2440,203,6,1,Cold Beverage,North Campus,0,Student
2026-03-02,1535,127,0,0,Coffee,Student Union,0,Visitor
2026-03-03,1432,119,1,0,Cold Beverage,Student Union,0,Visitor
2026-03-04,1964,163,2,0,Tea,North Campus,20,Staff
2026-03-05,1943,161,3,0,Food,North Campus,0,Faculty
2026-03-06,2095,174,4,0,Coffee,North Campus,0,Visitor
2026-03-07,2599,216,5,1,Pastry,Student Union,0,Faculty
2026-03-08,2788,232,6,1,Coffee,South Campus,10,Student
2026-03-09,1594,132,0,0,Pastry,South Campus,0,Visitor
2026-03-10,1488,124,1,0,Tea,North Campus,20,Staff
2026-03-11,1980,165,2,0,Coffee,North Campus,0,Visitor
2026-03-12,1785,148,3,0,Pastry,Student Union,0,Faculty
2026-03-13,2101,175,4,0,Cold Beverage,North Campus,0,Visitor
2026-03-14,2536,211,5,1,Cold Beverage,South Campus,10,Faculty
2026-03-15,2551,212,6,1,Tea,Student Union,0,Visitor
2026-03-16,1665,138,0,0,Cold Beverage,North Campus,10,Student
2026-03-17,1472,122,1,0,Cold Beverage,South Campus,20,Faculty
2026-03-18,1612,134,2,0,Pastry,North Campus,0,Staff
2026-03-19,2090,174,3,0,Pastry,North Campus,0,Staff
2026-03-20,2120,176,4,0,Coffee,South Campus,10,Faculty
2026-03-21,2446,203,5,1,Food,Student Union,0,Visitor
2026-03-22,2833,236,6,1,Pastry,Library,10,Faculty
2026-03-23,1658,138,0,0,Food,North Campus,20,Student
2026-03-24,1748,145,1,0,Cold Beverage,Library,10,Student
2026-03-25,1668,139,2,0,Food,North Campus,0,Student
2026-03-26,1939,161,3,0,Tea,Student Union,10,Staff
2026-03-27,1764,147,4,0,Tea,Library,0,Visitor
2026-03-28,2635,219,5,1,Cold Beverage,Library,10,Student
2026-03-29,2602,216,6,1,Tea,Library,0,Staff
2026-03-30,1699,141,0,0,Pastry,South Campus,0,Visitor
2026-03-31,1603,133,1,0,Food,Student Union,0,Faculty
2026-04-01,1980,165,2,0,Tea,Library,0,Visitor
2026-04-02,1683,140,3,0,Tea,Library,0,Faculty
2026-04-03,2175,181,4,0,Food,South Campus,10,Faculty
2026-04-04,2430,202,5,1,Coffee,North Campus,0,Faculty
2026-04-05,2519,209,6,1,Cold Beverage,South Campus,0,Faculty
2026-04-06,1550,129,0,0,Pastry,North Campus,20,Staff
2026-04-07,1466,122,1,0,Coffee,Library,0,Visitor
2026-04-08,1706,142,2,0,Coffee,North Campus,10,Student
2026-04-09,2045,170,3,0,Food,Library,0,Student
2026-04-10,2148,179,4,0,Food,North Campus,10,Staff
2026-04-11,2436,203,5,1,Food,South Campus,0,Faculty
2026-04-12,2447,203,6,1,Coffee,Library,10,Faculty
2026-04-13,1388,115,0,0,Tea,North Campus,0,Student
2026-04-14,1614,134,1,0,Cold Beverage,North Campus,0,Visitor
2026-04-15,1654,137,2,0,Tea,North Campus,10,Visitor
2026-04-16,1749,145,3,0,Cold Beverage,Student Union,0,Faculty
2026-04-17,1734,144,4,0,Coffee,North Campus,20,Faculty
2026-04-18,2469,205,5,1,Pastry,Library,0,Staff
2026-04-19,2889,240,6,1,Cold Beverage,North Campus,0,Faculty
2026-04-20,1770,147,0,0,Pastry,North Campus,0,Student
2026-04-21,1607,133,1,0,Pastry,North Campus,0,Faculty
2026-04-22,1925,160,2,0,Tea,South Campus,10,Faculty
